aggressor,aggressors,复数
agitate,agitated,过去式
agitate,agitated,过去分词
agitate,agitating,现在分词
agitate,agitates,第三人称单数
agitation,agitations,复数
agitator,agitators,复数
agnostic,agnostics,复数
agonize,agonized,过去式
agonize,agonized,过去分词
agonize,agonizing,现在分词
agonize,agonizes,第三人称单数
agony,agonies,复数
agony aunt,agony aunts,复数
agrarian,agrarians,复数
agree,agreed,过去式
agree,agreed,过去分词
agree,agreeing,现在分词
agree,agrees,第三人称单数
agreement,agreements,复数
agronomist,agronomists,复数
aid,aids,复数
aid,aided,过去式
aid,aided,过去分词
aid,aiding,现在分词
aid,aids,第三人称单数
aide,aides,复数
aide-memoire,aide-memoires,复数
ail,ailed,过去式
ail,ailed,过去分词
ail,ailing,现在分词
ail,ails,第三人称单数
aileron,ailerons,复数
ailment,ailments,复数
aim,aims,复数
aim,aimed,过去式
aim,aimed,过去分词
aim,aiming,现在分词
aim,aims,第三人称单数
air,airs,复数
air,aired,过去式
air,aired,过去分词
air,airing,现在分词
air,airs,第三人称单数
air base,air bases,复数
air brake,air brakes,复数
air hostess,air hostesses,复数
air raid,air raids,复数
air terminal,air terminals,复数
air traffic controller,air traffic controllers,复数
airbrush,airbrushes,复数
airbrush,airbrushed,过去式
airbrush,airbrushed,过去分词
airbrush,airbrushing,现在分词
airbrush,airbrushes,第三人称单数
aircraft,aircraft,复数
aircrew,aircrews,复数
airfield,airfields,复数
airlift,airlifts,复数
airlift,airlifted,过去式
airlift,airlifted,过去分词
airlift,airlifting,现在分词
airlift,airlifts,第三人称单数
airline,airlines,复数
airliner,airliners,复数
airmail,airmailed,过去式
airmail,airmailed,过去分词
airmail,airmailing,现在分词
airmail,airmails,第三人称单数
airman,airmen,复数
airplane,airplanes,复数
airport,airports,复数
airship,airships,复数
airstrip,airstrips,复数
airway,airways,复数
airwoman,airwoen,复数
aisle,aisles,复数
alarm,alarms,复数
alarm,alarmed,过去式
alarm,alarmed,过去分词
alarm,alarming,现在分词
alarm,alarms,第三人称单数
alarm clock,alarm clocks,复数
alarmist,alarmists,复数
albatross,albatrosses,复数
albino,albinos,复数
album,albums,复数
alchemist,alchemists,复数
alchemy,alchemies,复数
alcoholic,alcoholics,复数
alcove,alcoves,复数
alder,alders,复数
alderman,aldermen,复数
ale,ales,复数
alehouse,alehouses,复数
alert,alerts,复数
alert,alerted,过去式
alert,alerted,过去分词
alert,alerting,现在分词
alert,alerts,第三人称单数
algorithm,algorithms,复数
alias,aliases,复数
alibi,alibis,复数
alien,aliens,复数
alienate,alienated,过去式
alienate,alienated,过去分词
alienate,alienating,现在分词
alienate,alienates,第三人称单数
alight,alighted,过去式
alight,过去分词：,ali
alight,alit,alighte
alight,alighting,现在分词
alight,alights,第三人称单数
align,aligned,过去式
align,aligned,过去分词
align,aligning,现在分词
align,aligns,第三人称单数
alignment,alignments,复数
alimentary canal,alimentary canals,复数
alkali,alkalis,复数
allay,allayed,过去式
allay,allayed,过去分词
allay,allaying,现在分词
allay,allays,第三人称单数
allegation,allegations,复数
allege,alleged,过去式
allege,alleged,过去分词
allege,alleging,现在分词
allege,alleges,第三人称单数
allegiance,allegiances,复数
allegory,allegories,复数
allegro,allegros,复数
alleluia,alleluias,复数
allergy,allergies,复数
alleviate,alleviated,过去式
alleviate,alleviated,过去分词
alleviate,alleviating,现在分词
alleviate,alleviates,第三人称单数
alley,alleys,复数
alliance,alliances,复数
alligator,alligators,复数
allocate,allocated,过去式
allocate,allocated,过去分词
allocate,allocating,现在分词
allocate,allocates,第三人称单数
allocation,allocations,复数
allot,allotted,过去式
allot,allotted,过去分词
allot,allotting,现在分词
allot,allots,第三人称单数
allotment,allotments,复数
allow,allowed,过去式
allow,allowed,过去分词
allow,allowing,现在分词
allow,allows,第三人称单数
allowance,allowances,复数
alloy,alloys,复数
allude,alluded,过去式
allude,alluded,过去分词
allude,alluding,现在分词
allude,alludes,第三人称单数
allure,allured,过去式
allure,allured,过去分词
allure,alluring,现在分词
allure,allures,第三人称单数
allurement,allurements,复数
allusion,allusions,复数
ally,allies,复数
ally,allied,过去式
ally,allied,过去分词
ally,allying,现在分词
ally,allies,第三人称单数
almanac,almanacs,复数
almond,almonds,复数
almoner,almoners,复数
alms,alms,复数
almshouse,almshouses,复数
aloe,aloes,复数
alpaca,alpacas,复数
alpha,alphas,复数
alphabet,alphabets,复数
alpine,alpines,复数
also-ran,also-rans,复数
altar,altars,复数
alter,altered,过去式
alter,altered,过去分词
alter,altering,现在分词
alter,alters,第三人称单数
alter ego,alter egos,复数
alteration,alterations,复数
altercation,altercations,复数
alternate,alternated,过去式
alternate,alternated,过去分词
alternate,alternating,现在分词
alternate,alternates,第三人称单数
alternating current,alternating currents,复数
alternative,alternatives,复数
alternator,alternators,复数
altimeter,altimeters,复数
altitude,altitudes,复数
alto,altos,复数
aluminium,aluminia,复数
alumna,alumnae,复数
alumnus,alumni,复数
amalgam,amalgams,复数
